day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
13,0,2.043203136428515,-0.14930843766527244,0.34305882183075803,0.3823430167278213,-0.04591065869325443,-0.31996844903500327,0.029358398191727857,4__0
14,0,2.1165252229042104,-0.15011069221556345,0.33696498416317205,0.3830456365363303,-0.045704204539461835,-0.3215443886329398,0.02932120675355809,4__0
15,0,2.0725829527912896,-0.14966460481330304,0.3396968467648495,0.38471929372152613,-0.04586507676185272,-0.32115493394784655,0.02931368886582852,4__0
16,0,2.0319545839498705,-0.1490614885458396,0.3414402479466192,0.38780668227626736,-0.045823569748629646,-0.3212790645746461,0.029299060049956888,4__0
17,0,2.081742771669771,-0.14979826775859953,0.3392947384411887,0.38402868083490105,-0.04587435708434561,-0.32113066426780773,0.029316738029763985,4__0
18,0,2.1380350732375883,-0.1506285880838522,0.33685834383401414,0.37976352324294976,-0.04593168815605355,-0.32096723118550774,0.02933643371299129,4__0
19,0,2.1722091683541427,-0.15117817256652508,0.335399140190435,0.37717170309202414,-0.04601423296950193,-0.32085212059097534,0.02934520592181922,4__0
20,0,2.144015499986801,-0.15072634799390403,0.3366087279617484,0.37930652689889055,-0.04594622649946087,-0.3209447070432537,0.0293381160412883,4__0
21,0,2.2266146701203424,-0.15212203426641455,0.33440547294799255,0.3701074473796376,-0.046217157376353755,-0.31985723764696167,0.029392398133189643,4__0
22,0,2.272745901165401,-0.15290740926079083,0.3329703637272945,0.36515663919901725,-0.04635906751728299,-0.31960754492685906,0.029420904772491586,4__0
23,0,2.2614725149052175,-0.15272963087083355,0.3334736203001579,0.3659770076407013,-0.046332653814906345,-0.3196361812073328,0.02941859392294723,4__0
24,0,2.2435177367787764,-0.15244761452306646,0.33427916778280165,0.36728131470741826,-0.046290647860466695,-0.3196801225938947,0.02941501655957549,4__0
25,0,2.1896743507783465,-0.1516053565667571,0.3367072506799737,0.37118573784394016,-0.04616487071189175,-0.3198067702349228,0.029404605541917206,4__0
26,0,2.1342183955814678,-0.15060936552789284,0.3368896112810994,0.3802965820772205,-0.045910944620636135,-0.32134551338708434,0.029335913740760545,4__0
27,0,2.116904719352887,-0.15036514811462787,0.3381694500565105,0.3805176370599401,-0.04589669641193902,-0.3210423814824378,0.029344452415753598,4__0
28,0,2.2668976471937374,-0.15247129528256162,0.3270634704355957,0.3785919043895935,-0.046020217928381305,-0.3236712971911606,0.029269973825811185,4__0
29,0,2.409137364831693,-0.15445931335766086,0.31651376275166104,0.3767553856008823,-0.04613743731399406,-0.3261670360973561,0.029198855710746274,4__0
30,0,2.4027442893046476,-0.15438333414865268,0.3172170839553777,0.3763377389108178,-0.04614444785356461,-0.3259159963203756,0.029207780122449265,4__0
31,0,2.3240012567843134,-0.15345214134666377,0.3258763348370771,0.3712239414770032,-0.04623025998292759,-0.3228308362743407,0.029317639995579094,4__0
32,0,2.2955767110468597,-0.15305747409013312,0.3279400963264731,0.37171914008945944,-0.046203795345135155,-0.32236414177487244,0.02933076907991353,4__0
33,0,2.269886783100278,-0.15260490258091491,0.3275014654980274,0.37681671923791527,-0.046057322198569964,-0.32375399397212273,0.029290758273549565,4__0
34,1,2.2545247766031196,-0.15233558428643695,0.32724795275918117,0.3798549441456996,-0.04596997872862147,-0.3245798355650087,0.029267040518122237,4__0
35,1,2.234672548922824,-0.15205825311771212,0.3269677336066759,0.3837647283813207,-0.04592972352681394,-0.32561543013809324,0.029232208213398985,4__0
36,1,2.2101799580308827,-0.1516102200159418,0.326986009862883,0.388256082095805,-0.045807170361831254,-0.32614494685779366,0.029197787350226503,4__0
37,2,2.2023349182997762,-0.15146748476337193,0.32699609018715936,0.3896896306359154,-0.04576802532499142,-0.326312677860095,0.029186873678799363,4__0
38,2,2.169942589164422,-0.15110696815965854,0.32717537157808046,0.3955745371911124,-0.045845076809806935,-0.3269116114625706,0.029127722218547994,4__0
39,2,2.1633333833857025,-0.15098683083388234,0.3271905090031802,0.39677362639269087,-0.04581100104067154,-0.32705014813166144,0.02911879857026829,4__0
40,2,2.1578939037469533,-0.15088852124503851,0.3272060382315065,0.3977568341849441,-0.04578304136052909,-0.32716280309389273,0.02911153477560025,4__0
41,2,2.1369063881461092,-0.1505114181866334,0.32727796933968906,0.40153608833031074,-0.04567549596934198,-0.32759213569918094,0.029083823333311366,4__0
42,2,2.1455862125759326,-0.15066645030951092,0.32724318663897817,0.39997910106613416,-0.045719833922170966,-0.3274168104162751,0.029095152002607594,4__0
43,2,2.1014380184494503,-0.23780376980315932,0.3319532553299173,0.4090455941966505,-0.04438374775436616,-0.3293744792351516,0.030443790391539813,4__0
44,2,2.1091013907478953,-0.23822968041098383,0.3319284173429751,0.40768560068763315,-0.04441896862950753,-0.32922725571295486,0.030458202967373994,4__0
45,2,2.1067254840347407,-0.2381095226026298,0.33194314605521463,0.4081049353555597,-0.04441920298231031,-0.3292683270578448,0.03045312257956828,4__0
0,0,0.9051454016148563,-0.13460232250271387,0.4169862888816817,0.3903575669786532,-0.04789168015881397,-0.3019519203408847,0.029733814936260705,4__1
1,0,0.9645211416522259,-0.13587135674720385,0.4219061342627833,0.3902181601620996,-0.04786002134686158,-0.3004455321113113,0.0297133001874215,4__1
2,0,0.9998886078939397,-0.13098910302352784,0.4254060755580751,0.3896714758681568,-0.04783446254205361,-0.2991534243444816,0.029618028112150956,4__1
3,0,1.0286795490486023,-0.12696853753585546,0.4280307010486291,0.38936998637695575,-0.04778830440922632,-0.2981573500886247,0.029540030652498522,4__1
4,0,1.0497794616261233,-0.12402353205052886,0.4301438098378159,0.3891073840744412,-0.047740501773064596,-0.2974094429895643,0.029484684966797754,4__1
