series,team_display,department_display,driver,driver_value,current_value,unit,expected_productivity,ci80_lower,ci80_upper,ci95_lower,ci95_upper
8__1,Team 8,Sewing,Incentive,49.86666666666665,30.0,BDT,0.7445106978004153,0.7215412056660157,0.7682607259018575,0.7107165671680794,0.778854015398501
8__1,Team 8,Sewing,Incentive,52.79999999999999,30.0,BDT,0.7571133185742815,0.734891374547758,0.7796928265272307,0.7236106081023621,0.7904022140244541
8__1,Team 8,Sewing,Incentive,55.73333333333332,30.0,BDT,0.7699527602013786,0.7483365007949884,0.7915110451744239,0.737365489656213,0.8020998844036927
8__1,Team 8,Sewing,Incentive,58.66666666666666,30.0,BDT,0.7829118340378185,0.76236031425207,0.8034135732556416,0.7506198562527775,0.8137472883872022
8__1,Team 8,Sewing,Incentive,61.59999999999999,30.0,BDT,0.7958756807748356,0.7763149422206492,0.8155980845607786,0.7644340566273261,0.8253781618629229
8__1,Team 8,Sewing,Incentive,64.53333333333332,30.0,BDT,0.8087084795744253,0.7901507893271649,0.8275970248268569,0.7781821404261838,0.8372762987994556
8__1,Team 8,Sewing,Incentive,67.46666666666665,30.0,BDT,0.8212060357243568,0.8031857395705179,0.8392161220289303,0.7914913458014551,0.848272742537659
8__1,Team 8,Sewing,Incentive,69.5,30.0,BDT,0.8295843298798458,0.8119771394298825,0.8471276666748363,0.800213920122573,0.8559440596430602
8__1,Team 8,Sewing,Incentive,70.39999999999998,30.0,BDT,0.8332057924249695,0.8157470139608852,0.8505055928035987,0.8040099927282188,0.8591463706213742
8__1,Team 8,Sewing,Incentive,73.33333333333331,30.0,BDT,0.84460133555195,0.8275516822269195,0.8612086113187184,0.8161074659339876,0.869519423692988
8__1,Team 8,Sewing,Incentive,76.26666666666665,30.0,BDT,0.8553297517117033,0.8389562213902011,0.87147285500138,0.8276909358841235,0.8792371579234757
8__1,Team 8,Sewing,Incentive,79.19999999999999,30.0,BDT,0.8653611561587977,0.8497480058771871,0.8809004908121069,0.8387011775848755,0.8883089150175989
8__1,Team 8,Sewing,Incentive,82.13333333333331,30.0,BDT,0.8746901469497521,0.8595154975373988,0.889643171339482,0.8490649553784179,0.8971077694004873
8__1,Team 8,Sewing,Incentive,85.06666666666665,30.0,BDT,0.8833289434209498,0.868965940571379,0.8977432719938067,0.85881957727756,0.9048776988943497
8__1,Team 8,Sewing,Incentive,87.99999999999999,30.0,BDT,0.8913019703868236,0.8770278918532373,0.9050671502965156,0.8677507091674896,0.91199866603837
8__1,Team 8,Sewing,WIP,0.0,913.9999999999997,pieces,0.44248424974329725,0.35490960221038026,0.525115134078444,0.3122103710791054,0.5732110846542794
8__1,Team 8,Sewing,WIP,50.09333333333334,913.9999999999997,pieces,0.5773952731270584,0.5335805100054901,0.6192505717172179,0.5074079317395206,0.640611692242803
8__1,Team 8,Sewing,WIP,100.18666666666668,913.9999999999997,pieces,0.6004797353543814,0.5619105704574172,0.6363527401199848,0.5424778860912701,0.6546271131343984
8__1,Team 8,Sewing,WIP,150.28000000000003,913.9999999999997,pieces,0.6138753937056894,0.5788253528820344,0.6471894349995585,0.5603462510749556,0.6636754091485255
8__1,Team 8,Sewing,WIP,200.37333333333336,913.9999999999997,pieces,0.6233005490588233,0.5906581066589268,0.6548256448668959,0.5731223474562616,0.6702676601556524
8__1,Team 8,Sewing,WIP,250.4666666666667,913.9999999999997,pieces,0.6305564309489591,0.5990804474290273,0.6603764110954402,0.5836038179253564,0.6758369861776993
8__1,Team 8,Sewing,WIP,300.56000000000006,913.9999999999997,pieces,0.6364452182102616,0.6065952301542474,0.6654078286126179,0.5905768267816871,0.6800561861567285
8__1,Team 8,Sewing,WIP,350.65333333333336,913.9999999999997,pieces,0.6413941237746447,0.6131185043635884,0.6698623922039076,0.5968075233988409,0.6838731365564875
8__1,Team 8,Sewing,WIP,400.7466666666667,913.9999999999997,pieces,0.645657608931093,0.6181528941096126,0.6735035526117673,0.6017216683737855,0.6871370186766842
8__1,Team 8,Sewing,WIP,450.8400000000001,913.9999999999997,pieces,0.6493994230036265,0.622140546779283,0.6771647248184403,0.606016838621376,0.6901609177617274
8__1,Team 8,Sewing,WIP,500.9333333333334,913.9999999999997,pieces,0.6527311059599903,0.625361732719583,0.6805119240159849,0.609334615722934,0.693613692641147
