series,team_display,department_display,driver,effect_mean,effect80_lower,effect80_upper,current_value,range_low,range_high,unit,direction,confidence,strength,strength_rank
4__0,Team 4,Finishing,Incentive,0.08550170328762997,0.008601938494509855,0.15164005088417531,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
4__0,Team 4,Finishing,Style Changes,0.023445424371675568,0.0071203596627617,0.0400925259363708,0.0,0.0,2.0,,Supports,Clear,Smaller,5
4__0,Team 4,Finishing,Overtime,-0.012797286929466552,-0.020336157311523485,-0.005776651466785383,1920.0000000000007,960.0,10368.0,min,Reduces,Clear,Smaller,6
4__1,Team 4,Sewing,Incentive,0.2770303832159635,0.24158362132211317,0.31206693176791084,45.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
4__1,Team 4,Sewing,WIP,0.23774478399680704,0.13872121768610202,0.33415585418581356,1054.0000000000002,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
4__1,Team 4,Sewing,Workers,0.1319495466842523,0.013000381212666801,0.25961522554763217,58.000000000000014,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
4__1,Team 4,Sewing,SMV,-0.12059415987636653,-0.15205146091943209,-0.08706144054476755,25.819999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
4__1,Team 4,Sewing,Style Changes,0.025898315761170028,0.007798727281040208,0.043882498677894254,0.0,0.0,2.0,,Supports,Clear,Smaller,5
4__1,Team 4,Sewing,Overtime,-0.013627763243956453,-0.02117098173449703,-0.0062995281402391835,7079.999999999998,960.0,10368.0,min,Reduces,Clear,Smaller,6
5__0,Team 5,Finishing,Workers,0.153547025240244,0.11881229419016184,0.19039413609872136,11.0,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,1
5__0,Team 5,Finishing,SMV,-0.141919294146446,-0.1954900590113868,-0.08668607884545249,2.9399999999999995,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,2
5__0,Team 5,Finishing,WIP,0.11507980061173569,-0.02004173793831143,0.2505596325473026,0.0,0.0,1502.8000000000002,pieces,Supports,Uncertain,Moderate,3
5__0,Team 5,Finishing,Incentive,0.07223038546970394,0.0025097826413232327,0.1310237780053676,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
5__0,Team 5,Finishing,Style Changes,0.020680378047782937,0.006052106336553309,0.035398976843435265,0.0,0.0,2.0,,Supports,Clear,Smaller,5
