feature,anova_f_score_train,anova_p_value_train,rank,selected
467,1.2479695563748598,0.2641859125452448,182,False
50,1.2423358289967255,0.26526615506234663,183,False
272,1.2355299338389667,0.2665785022118342,184,False
104,1.2313274603101458,0.26739288708765935,185,False
271,1.230893127323925,0.2674772320279622,186,False
553,1.2279672125339918,0.26804629375249883,187,False
7,1.223312141854609,0.26895477864036965,188,False
365,1.1984943665911,0.2738637775212665,189,False
222,1.1982309132840903,0.27391648884128256,190,False
338,1.1980591303160442,0.2739508657659316,191,False
129,1.1949552258047451,0.274572948443967,192,False
540,1.1733718347541715,0.2789481810078801,193,False
485,1.152899880102215,0.28317969668922766,194,False
441,1.132867289385597,0.2873994289791843,195,False
138,1.13244300116217,0.28748966346385846,196,False
87,1.121103954431345,0.28991459049563134,197,False
411,1.1184187850672165,0.29049264534513525,198,False
438,1.1151397857220011,0.2912005346098333,199,False
268,1.1033993242971745,0.29375328208618323,200,False
296,1.0984764860131575,0.2948321834094883,201,False
331,1.0630708211198605,0.30274372941500727,202,False
541,1.0573429367079683,0.3040492710574637,203,False
343,1.0479797968311544,0.30619912405139227,204,False
576,1.0320097496615914,0.30991171383525856,205,False
407,1.024958621402242,0.31156954496414424,206,False
455,1.0131711894460518,0.3143668927570627,207,False
474,0.9896408158531838,0.32005015622151434,208,False
545,0.9849281983844052,0.32120458503362537,209,False
586,0.9822455848988711,0.32186418464465094,210,False
218,0.964842757319164,0.32618693103470997,211,False
377,0.963054219733887,0.32663553615883256,212,False
98,0.9617623248848652,0.32696008120666065,213,False
319,0.9590675929664003,0.3276384199467851,214,False
95,0.9459151164779845,0.3309762405338933,215,False
269,0.9228381828342905,0.33694312577428187,216,False
428,0.9131837578347295,0.33948219208889585,217,False
113,0.9111146093351498,0.3400297127961268,218,False
155,0.9108053702092485,0.34011164313153,219,False
486,0.9024340931912604,0.3423396873336102,220,False
183,0.8982357081183119,0.343464520545393,221,False
101,0.8882953148379132,0.3461477573893217,222,False
543,0.8785677529645466,0.3488011335996425,223,False
48,0.8684838442971696,0.3515809994241633,224,False
483,0.850229697534632,0.3566906658159078,225,False
61,0.844827174458533,0.35822244420274885,226,False
565,0.841869902716207,0.35906475276892946,227,False
132,0.8345003465908483,0.3611757023180876,228,False
440,0.8309269868364167,0.3622054296700439,229,False
92,0.8266376376406234,0.3634468490927645,230,False
303,0.8243197119532223,0.3641201527600533,231,False
482,0.8187698818830915,0.3657392902850408,232,False
352,0.8141204271283513,0.3671034506616072,233,False
418,0.7838824187371003,0.37615093849889847,234,False
567,0.7796487906061794,0.3774425538593763,235,False
112,0.7730923564645583,0.37945518724337746,236,False
128,0.7690996974770571,0.3806882467543701,237,False
424,0.7252500488308045,0.39461355262639597,238,False
419,0.6867766398973951,0.40744369706363304,239,False
151,0.684594012359348,0.40818970621030726,240,False
88,0.6784432807873513,0.4103028130432136,241,False
304,0.6749230507873993,0.4115194500828192,242,False
99,0.657206292231045,0.41772428053675403,243,False
286,0.6511472047405001,0.4198782140910473,244,False
445,0.6390342231334303,0.4242342615452753,245,False
